"date","weight"
2016-01-01,NA
2016-01-02,NA
2016-01-03,NA
2016-01-04,NA
2016-01-05,82.1
2016-01-06,81.6
2016-01-07,82.2
2016-01-08,81.4
2016-01-09,81.6
2016-01-10,NA
2016-01-11,NA
2016-01-12,81.9
2016-01-13,81.1
2016-01-14,81.1
2016-01-15,82.2
2016-01-16,NA
2016-01-17,NA
2016-01-18,82.5
2016-01-19,82.5
2016-01-20,81.9
2016-01-21,80.8
2016-01-22,80.8
2016-01-23,80.5
2016-01-24,NA
2016-01-25,80.9
2016-01-26,80.7
2016-01-27,79.9
2016-01-28,80.8
2016-01-29,81.1
2016-01-30,80.8
2016-01-31,NA
2016-02-01,80.1
2016-02-02,80.6
2016-02-03,79.4
2016-02-04,80.2
2016-02-05,80.2
2016-02-06,80.9
2016-02-07,NA
2016-02-08,80.1
2016-02-09,80
2016-02-10,80.3
2016-02-11,NA
2016-02-12,80.3
2016-02-13,79.9
2016-02-14,80
2016-02-15,80.9
2016-02-16,80.4
2016-02-17,80.3
2016-02-18,80.1
2016-02-19,80.3
2016-02-20,80.4
2016-02-21,80.2
2016-02-22,NA
2016-02-23,NA
2016-02-24,80.8
2016-02-25,81
2016-02-26,80.5
2016-02-27,80.1
2016-02-28,79.8
2016-02-29,79.8
2016-03-01,80
2016-03-02,79.7
2016-03-03,79.5
2016-03-04,80.5
2016-03-05,79.6
2016-03-06,79.8
2016-03-07,79.6
2016-03-08,NA
2016-03-09,80.2
2016-03-10,79.7
2016-03-11,79.3
2016-03-12,NA
2016-03-13,80.5
2016-03-14,79.5
2016-03-15,78
2016-03-16,79
2016-03-17,79.3
2016-03-18,79.4
2016-03-19,79.2
2016-03-20,NA
2016-03-21,NA
2016-03-22,79.7
2016-03-23,78.8
2016-03-24,79.4
2016-03-25,78.9
2016-03-26,78.7
2016-03-27,78.9
2016-03-28,78.8
2016-03-29,79.2
2016-03-30,78.9
2016-03-31,78.9
2016-04-01,78.8
2016-04-02,79.8
2016-04-03,79.8
2016-04-04,79.7
2016-04-05,79.2
2016-04-06,79.8
2016-04-07,79.2
2016-04-08,79
2016-04-09,78.3
2016-04-10,79.3
2016-04-11,79.1
2016-04-12,78.8
2016-04-13,77.6
2016-04-14,78.1
2016-04-15,78.4
2016-04-16,NA
2016-04-17,NA
2016-04-18,78.9
2016-04-19,78.4
2016-04-20,77.9
2016-04-21,77.9
2016-04-22,NA
2016-04-23,77.2
2016-04-24,77.4
2016-04-25,79
2016-04-26,77.9
2016-04-27,77.5
2016-04-28,77
2016-04-29,76.8
2016-04-30,78.1
2016-05-01,78.6
2016-05-02,77.9
2016-05-03,76.6
2016-05-04,77.5
2016-05-05,77.3
2016-05-06,77.3
2016-05-07,76.6
2016-05-08,76.3
2016-05-09,78
2016-05-10,77.5
2016-05-11,76.9
2016-05-12,76.8
2016-05-13,77
2016-05-14,76.7
2016-05-15,NA
2016-05-16,76.3
2016-05-17,76.6
2016-05-18,76.3
2016-05-19,76.4
2016-05-20,76.4
2016-05-21,76.2
2016-05-22,76.1
2016-05-23,76.3
2016-05-24,76.4
2016-05-25,76.6
2016-05-26,76.2
2016-05-27,76.3
2016-05-28,76.6
2016-05-29,76.3
2016-05-30,76.6
2016-05-31,76.3
2016-06-01,76
2016-06-02,75.6
2016-06-03,75.6
2016-06-04,75.5
2016-06-05,NA
2016-06-06,75.6
2016-06-07,75.6
2016-06-08,75.3
2016-06-09,75.4
2016-06-10,75.3
2016-06-11,75
2016-06-12,76
2016-06-13,75.3
2016-06-14,75.4
2016-06-15,75.4
2016-06-16,76
2016-06-17,75.1
2016-06-18,75.2
2016-06-19,75.2
2016-06-20,75
2016-06-21,75.1
2016-06-22,75.3
2016-06-23,75.3
2016-06-24,75.4
2016-06-25,75.1
2016-06-26,NA
2016-06-27,75.2
2016-06-28,75.2
2016-06-29,75
2016-06-30,75.2
2016-07-01,75.4
2016-07-02,75.5
2016-07-03,74.9
2016-07-04,74.8
2016-07-05,75
2016-07-06,75
2016-07-07,74.7
2016-07-08,74.8
2016-07-09,74.6
2016-07-10,74.8
2016-07-11,74.7
2016-07-12,74.1
2016-07-13,74.1
2016-07-14,74.6
2016-07-15,74.3
2016-07-16,73.9
2016-07-17,74.7
2016-07-18,74.5
2016-07-19,74.9
2016-07-20,74.2
2016-07-21,75
2016-07-22,74.6
2016-07-23,74.6
2016-07-24,NA
2016-07-25,NA
2016-07-26,NA
2016-07-27,NA
2016-07-28,74
2016-07-29,74.4
2016-07-30,74.3
